2997,2997,4158,,,,,,,,498,
姓,男名,女名,,,,组合,数量,,,,
21点,之玉,醉易,,,,男双名,8982009,优先使用,,,
庄家,越泽,紫萱,,,,女双名,12461526,,,,
牌王,锦程,紫霜,,,,,,,,6,
赌神,修杰,紫南,,,,,,,,,
赌圣,烨伟,紫菱,,,,,,,,,
牛牛,尔曼,紫蓝,,,,,,,,,
捕鱼,立辉,紫翠,,,,,,,,,
大佬,致远,紫安,,,,,,,,,
抢庄,天思,芷天,,,,,,,,,
地主,友绿,芷容,,,,,,,,,
炸弹,聪健,芷巧,,,,,,,,,
雀神,修洁,芷卉,,,,,,,,,
雀圣,访琴,芷荷,,,,,,,,,
赌手,初彤,之桃,,,,总名数,21443535,,,,
赌运,谷雪,元霜,,,,,,,,,
赌馆,平灵,元绿,,,,随机规则1,姓+名,,,,
赌桌,源智,元槐,,,,,,,,,
赌说,烨华,元枫,,,,,,,,,
赌朋,振家,语雪,,,,,,,,,
赌经,越彬,语山,,,,,,,,,
赌器,子轩,语蓉,,,,,,,,,
赌快,伟宸,语琴,,,,,,,,,
赌胆,晋鹏,语海,,,,,,,,,
斗赌,觅松,语芙,,,,,,,,,
赌具,海亦,语儿,,,,,,,,,
赌风,雨珍,语蝶,,,,,,,,,
赌对,浩宇,雨雪,,,,,,,,,
赌友,嘉熙,雨文,,,,,,,,,
赌春,志泽,雨梅,,,,,,,,,
赌斗,苑博,雨莲,,,,,,,,,
赌本,念波,雨兰,,,,,,,,,
赌狠,峻熙,幼丝,,,,,,,,,
赌咒,俊驰,幼枫,,,,,,,,,
赌头,聪展,又菡,,,,,,,,,
赌注,南松,友梅,,,,,,,,,
赌棍,问旋,友儿,,,,,,,,,
赌家,黎昕,映萱,,,,,,,,,
赌句,谷波,映安,,,,,,,,,
赌帐,凝海,迎梦,,,,,,,,,
赌拳,靖易,迎波,,,,,,,,,
赌窝,芷烟,易巧,,,,,,,,,
嫖赌,渊思,亦丝,,,,,,,,,
关赌,煜祺,亦巧,,,,,,,,,
官赌,乐驹,忆雪,,,,,,,,,
豪赌,风华,忆文,,,,,,,,,
轰赌,睿渊,忆梅,,,,,,,,,
交赌,博超,忆枫,,,,,,,,,
角赌,天磊,以丹,,,,,,,,,
局赌,夜白,依丝,,,,,,,,,
聚赌,初晴,夜玉,,,,,,,,,
开赌,瑾瑜,夜梦,,,,,,,,,
朋赌,鹏飞,夜春,,,,,,,,,
赌力,弘文,雁荷,,,,,,,,,
赌术,伟泽,雁风,,,,,,,,,
赌局,迎松,雅彤,,,,,,,,,
赌取,雨泽,雅琴,,,,,,,,,
赌客,鹏笑,寻梅,,,,,,,,,
赌气,诗云,寻冬,,,,,,,,,
赌胜,白易,雪珍,,,,,,,,,
赌博,远航,雪瑶,,,,,,,,,
赌债,笑白,雪旋,,,,,,,,,
赌擂,映波,雪卉,,,,,,,,,
赌东,代桃,笑旋,,,,,,,,,
赌鳖,晓啸,笑蓝,,,,,,,,,
赌房,智宸,笑翠,,,,,,,,,
赌射,晓博,晓亦,,,,,,,,,
牌赌,靖琪,晓夏,,,,,,,,,
抓赌,十八,向梦,,,,,,,,,
赌战,君浩,香萱,,,,,,,,,
赌荡,绍辉,香岚,,,,,,,,,
赌棋,冷安,夏真,,,,,,,,,
赌书,盼旋,夏山,,,,,,,,,
赌汉,秋白,夏兰,,,,,,,,,
眼里有,天德,惜雪,,,,,,,,,
习惯性,铁身,惜蕊,,,,,,,,,
小跑追,老黑,惜灵,,,,,,,,,
章鱼,半邪,问夏,,,,,,,,,
猫性,半山,问蕊,,,,,,,,,
仙女,一江,问梅,,,,,,,,,
肉丸,冰安,听筠,,,,,,,,,
折扇戏,皓轩,听枫,,,,,,,,,
混世,子默,天曼,,,,,,,,,
魂十,熠彤,思松,,,,,,,,,
魔女,青寒,思菱,,,,,,,,,
错过,烨磊,水瑶,,,,,,,,,
一手,愚志,水彤,,,,,,,,,
二手,飞风,书竹,,,,,,,,,
三手,问筠,书易,,,,,,,,,
四手,旭尧,诗桃,,,,,,,,,
五手,妙海,诗双,,,,,,,,,
六手,平文,诗珊,,,,,,,,,
十三手,冷之,诗蕊,,,,,,,,,
炸弹,尔阳,山菡,,,,,,,,,
飞机,天宇,山蝶,,,,,,,,,
撩人的,正豪,若雁,,,,,,,,,
孤独,文博,若菱,,,,,,,,,
咕嘟,明辉,如风,,,,,,,,,
小棉袄,行恶,如冬,,,,,,,,,
贴心,哲瀚,如波,,,,,,,,,
可爱,子骞,秋柔,,,,,,,,,
风吹,泽洋,青雪,,,,,,,,,
情书给,灵竹,青曼,,,,,,,,,
十三幺,幼旋,巧蕊,,,,,,,,,
小祖宗,百招,千亦,,,,,,,,,
爱笑的,不斜,千柔,,,,,,,,,
渐渐的,擎汉,千柳,,,,,,,,,
贱贱的,千万,绮琴,,,,,,,,,
连摸,高烽,绮梅,,,,,,,,,
高级花,大开,平萱,,,,,,,,,
一轮,不正,平露,,,,,,,,,
二轮,伟帮,沛儿,,,,,,,,,
十三轮,如豹,盼烟,,,,,,,,,
逆风,三德,凝雁,,,,,,,,,
顺丰,三毒,凝安,,,,,,,,,
顺风,连虎,念之,,,,,,,,,
短套,十三,念柏,,,,,,,,,
至尊,酬海,妙之,,,,,,,,,
至尊宝,天川,妙梦,,,,,,,,,
猴王,一德,妙柏,,,,,,,,,
猴王对,复天,梦之,,,,,,,,,
猴子,牛青,梦桃,,,,,,,,,
八戒,羊青,梦琪,,,,,,,,,
天牌,大楚,梦露,,,,,,,,,
双天,傀斗,梦凡,,,,,,,,,
双地,老五,曼容,,,,,,,,,
地牌,老九,曼荷,,,,,,,,,
仁王,定帮,曼寒,,,,,,,,,
人王,自中,曼安,,,,,,,,,
梅花,开山,绿真,,,,,,,,,
板凳,似狮,凌文,,,,,,,,,
斧头,无声,凌青,,,,,,,,,
虎头,一手,凌波,,,,,,,,,
红头,严青,怜阳,,,,,,,,,
高脚,老四,怜珊,,,,,,,,,
铜锤,不可,冷雪,,,,,,,,,
铜锤六,随阴,冷荷,,,,,,,,,
杂九,大有,乐萱,,,,,,,,,
杂八,中恶,乐天,,,,,,,,,
杂七,延恶,乐松,,,,,,,,,
杂六,百川,乐枫,,,,,,,,,
杂五,世倌,静芙,,,,,,,,,
天王,连碧,靖柏,,,,,,,,,
帝王,岱周,寄真,,,,,,,,,
地王,擎苍,寄文,,,,,,,,,
地网,思远,寄琴,,,,,,,,,
收盘,嘉懿,幻天,,,,,,,,,
天牌八,鸿煊,幻珊,,,,,,,,,
地牌八,笑天,寒天,,,,,,,,,
天高九,晟睿,寒凝,,,,,,,,,
九门清,强炫,寒梦,,,,,,,,,
九门,寄灵,寒荷,,,,,,,,,
地九,听白,涵易,,,,,,,,,
地高九,鸿涛,涵菱,,,,,,,,,
高九,孤风,含玉,,,,,,,,,
九地,青文,含烟,,,,,,,,,
牌顺,盼秋,含灵,,,,,,,,,
令牌,怜烟,含蕾,,,,,,,,,
黄牌,浩然,海云,,,,,,,,,
火牌,明杰,海冬,,,,,,,,,
令牌,昊焱,谷蕊,,,,,,,,,
驾牌,伟诚,谷兰,,,,,,,,,
魂牌,剑通,飞珍,,,,,,,,,
黄牌,鹏涛,飞槐,,,,,,,,,
护牌,鑫磊,访云,,,,,,,,,
黑牌,醉薇,访烟,,,,,,,,,
火牌,尔蓝,访天,,,,,,,,,
号牌,靖仇,访风,,,,,,,,,
红牌,成风,凡阳,,,,,,,,,
捍牌,豪英,凡旋,,,,,,,,,
挂牌,若风,凡梅,,,,,,,,,
功牌,难破,凡灵,,,,,,,,,
籍牌,德地,凡蕾,,,,,,,,,
肩牌,无施,尔丝,,,,,,,,,
奖牌,追命,尔柳,,,,,,,,,
联牌,成协,尔芙,,,,,,,,,
路牌,人达,尔白,,,,,,,,,
老牌,亿先,孤菱,,,,,,,,,
看牌,不评,沛萍,,,,,,,,,
钧牌,成威,梦柏,,,,,,,,,
酒牌,成败,从阳,,,,,,,,,
禁牌,难胜,绿海,,,,,,,,,
金牌,人英,白梅,,,,,,,,,
界牌,忘幽,秋烟,,,,,,,,,
揭牌,世德,访旋,,,,,,,,,
叫牌,世平,元珊,,,,,,,,,
公牌,广山,凌旋,,,,,,,,,
勾牌,德天,依珊,,,,,,,,,
工牌,人雄,寻凝,,,,,,,,,
对牌,人杰,幻柏,,,,,,,,,
吊牌,不言,雨寒,,,,,,,,,
赌牌,难摧,寒安,,,,,,,,,
斗牌,世立,怀绿,,,,,,,,,
盾牌,老三,书琴,,,,,,,,,
粉牌,若之,水香,,,,,,,,,
